start,end,corpus,sent_id,left,node,right,node_sentences,term,selection,root,morph,use,target
168,176,ind_news_2024_1M,739823,"Retno juga mendorong kepemimpinan tanpa hegemoni, yaitu suatu kepemimpinan global yang nyata dan memandu tindakan bersama dengan mendengarkan kepentingan semua pihak,",memajukan,kolaborasi dan harapan.,"Retno juga mendorong kepemimpinan tanpa hegemoni, yaitu suatu kepemimpinan global yang nyata dan memandu tindakan bersama dengan mendengarkan kepentingan semua pihak, <m>memajukan</m> kolaborasi dan harapan.",memajukan,y,maju,me-root-kan,met,advancement
41,49,ind_news_2024_1M,847404,"Sementara ini, ada beberapa dokter yang",memajukan,lamaran.,"Sementara ini, ada beberapa dokter yang <m>memajukan</m> lamaran.",memajukan,y,maju,me-root-kan,met,advancement
80,88,ind_news_2024_1M,817029,"Sejumlah tokoh, lembaga, dan korporasi yang dianggap berkontribusi nyata dalam",memajukan,nilai-nilai Trisakti di era digital menerima penghargaan Nawacita Award pada Senin (16/8).,"Sejumlah tokoh, lembaga, dan korporasi yang dianggap berkontribusi nyata dalam <m>memajukan</m> nilai-nilai Trisakti di era digital menerima penghargaan Nawacita Award pada Senin (16/8).",memajukan,y,maju,me-root-kan,met,advancement
128,136,ind_news_2024_1M,310898,Indonesia juga berpandangan langkah tersebut sangat krusial untuk mengakhiri pendudukan ilegal Israel di wilayah Palestina dan,memajukan,pembentukan Negara Palestina yang merdeka sesuai dengan prinsip-prinsip Solusi Dua-Negara.,Indonesia juga berpandangan langkah tersebut sangat krusial untuk mengakhiri pendudukan ilegal Israel di wilayah Palestina dan <m>memajukan</m> pembentukan Negara Palestina yang merdeka sesuai dengan prinsip-prinsip Solusi Dua-Negara.,memajukan,y,maju,me-root-kan,met,advancement
34,42,ind_news_2024_1M,171650,Dewan Perwakilan Rakyat (DPR) AS,memajukan,rancangan undang-undang (RUU) yang menyerukan sanksi terhadap Pengadilan Kriminal Internasional ().,Dewan Perwakilan Rakyat (DPR) AS <m>memajukan</m> rancangan undang-undang (RUU) yang menyerukan sanksi terhadap Pengadilan Kriminal Internasional ().,memajukan,y,maju,me-root-kan,met,advancement
78,86,ind_news_2024_1M,786107,"Sebagai anggota Partnership for Religion and Development (PaRD), berkomitmen",memajukan,SDGs melalui pendekatan keagamaan.,"Sebagai anggota Partnership for Religion and Development (PaRD), berkomitmen <m>memajukan</m> SDGs melalui pendekatan keagamaan.",memajukan,y,maju,me-root-kan,met,advancement
205,213,ind_news_2024_1M,569373,"Meskipun pemerintahan Biden telah berusaha menunda kesepakatan ini, sebagian besar hal tersebut menemui jalan buntu di tengah perang di Gaza dan penolakan Netanyahu untuk menerima permintaan Riyadh untuk",memajukan,solusi dua negara.,"Meskipun pemerintahan Biden telah berusaha menunda kesepakatan ini, sebagian besar hal tersebut menemui jalan buntu di tengah perang di Gaza dan penolakan Netanyahu untuk menerima permintaan Riyadh untuk <m>memajukan</m> solusi dua negara.",memajukan,y,maju,me-root-kan,met,advancement
67,75,ind_news_2024_1M,837236,"Selama 20 tahun, lanjut dia, ITSEC Asia konsisten dengan komitmen",memajukan,"solusi keamanan siber yang andal, dengan banyak pencapaian teknologi dan kolaborasi.","Selama 20 tahun, lanjut dia, ITSEC Asia konsisten dengan komitmen <m>memajukan</m> solusi keamanan siber yang andal, dengan banyak pencapaian teknologi dan kolaborasi.",memajukan,y,maju,me-root-kan,met,advancement
86,94,ind_news_2024_1M,136680,"Dalam pembukaan pertemuan G20 di Rio de Janeiro, Lula mengusulkan agar negara-negara",memajukan,target mereka untuk mencapai netralitas iklim pada tahun 2040 atau 2045.,"Dalam pembukaan pertemuan G20 di Rio de Janeiro, Lula mengusulkan agar negara-negara <m>memajukan</m> target mereka untuk mencapai netralitas iklim pada tahun 2040 atau 2045.",memajukan,y,maju,me-root-kan,met,advancement
36,44,ind_news_2024_1M,238478,“FPCI mengharapkan pemerintah bisa,memajukan,"target tersebut,” katanya.","“FPCI mengharapkan pemerintah bisa <m>memajukan</m> target tersebut,” katanya.",memajukan,y,maju,me-root-kan,met,advancement
48,56,ind_news_2024_1M,538091,MENTERI Luar Negeri Amerika Serikat (AS) untuk,memajukan,upaya mencapai Gaza dan kesepakatan pertukaran tahanan dengan Hamas.,MENTERI Luar Negeri Amerika Serikat (AS) untuk <m>memajukan</m> upaya mencapai Gaza dan kesepakatan pertukaran tahanan dengan Hamas.,memajukan,y,maju,me-root-kan,met,advancement
106,114,ind_news_2024_1M,130030,"“Dalam beberapa bulan mendatang, Kanada bermaksud menjadi tuan rumah pertemuan menteri luar negeri untuk",memajukan,"upaya penanganan korban jiwa akibat perang ini,” ujarnya.","“Dalam beberapa bulan mendatang, Kanada bermaksud menjadi tuan rumah pertemuan menteri luar negeri untuk <m>memajukan</m> upaya penanganan korban jiwa akibat perang ini,” ujarnya.",memajukan,y,maju,me-root-kan,met,advancement
21,31,ind_news_2024_1M,449222,Ketika motor sedang,dimundurkan,", ketahuan oleh pemilik motor,” jelas Kapolsek.","Ketika motor sedang <m>dimundurkan</m>, ketahuan oleh pemilik motor,” jelas Kapolsek.",dimundurkan,y,mundur,di-root-kan,lit,physical
78,86,ind_news_2024_1M,310927,Indonesia juga menyakini bahwa kerja sama dalam bidang maritim tersebut akan,memajukan,upaya penyelesaian Kode Etik Laut China Selatan demi menciptakan stabilitas di kawasan.,Indonesia juga menyakini bahwa kerja sama dalam bidang maritim tersebut akan <m>memajukan</m> upaya penyelesaian Kode Etik Laut China Selatan demi menciptakan stabilitas di kawasan.,memajukan,y,maju,me-root-kan,met,advancement
9,17,ind_news_2024_1M,507089,Makanan,dimajukan,jam 11 dan hanya boleh makan 10 menit.,Makanan <m>dimajukan</m> jam 11 dan hanya boleh makan 10 menit.,dimajukan,y,maju,di-root-kan,lit,physical
36,44,ind_news_2024_1M,290601,Ia mengatakan kedua kelas tersebut,dimajukan,"ke depan dan alokasi kuotanya dibuat lebih sedikit, sehingga experience menonton konsernya tetap lebih premium dan maksimal.","Ia mengatakan kedua kelas tersebut <m>dimajukan</m> ke depan dan alokasi kuotanya dibuat lebih sedikit, sehingga experience menonton konsernya tetap lebih premium dan maksimal.",dimajukan,y,maju,di-root-kan,lit,physical
114,122,ind_news_2024_1M,806993,"Sedangkan untuk tribun penonton, sedikit penambahan atap di tribun A dan B, dari sebelumnya atapnya masih pendek",dimajukan,lagi lebih ke depan sehingga penonton yang ada di kursi duduk paling depan juga bisa terlindung dari sinar matahari.,"Sedangkan untuk tribun penonton, sedikit penambahan atap di tribun A dan B, dari sebelumnya atapnya masih pendek <m>dimajukan</m> lagi lebih ke depan sehingga penonton yang ada di kursi duduk paling depan juga bisa terlindung dari sinar matahari.",dimajukan,y,maju,di-root-kan,lit,physical
105,115,ind_news_2024_1M,895088,Spekulasi publik akan memunculkan pertanyaan bahwa apa benar yang bersangkutan berkeinginan mundur atau,dimundurkan,","" ujar Ahmad Atang.","Spekulasi publik akan memunculkan pertanyaan bahwa apa benar yang bersangkutan berkeinginan mundur atau <m>dimundurkan</m>,"" ujar Ahmad Atang.",dimundurkan,y,mundur,di-root-kan,met,pol. nom.
43,51,ind_news_2024_1M,449707,Ketika sudah merasa aman terdakwa Hartono,memajukan,mobil secara berlahan sambil berbelok ke kanan tapi tiba-tiba satu sepeda motor Mio Soul Hijau dikendarai Fakhry dan penumpang menabrak body sebelah kiri mobilnya.,Ketika sudah merasa aman terdakwa Hartono <m>memajukan</m> mobil secara berlahan sambil berbelok ke kanan tapi tiba-tiba satu sepeda motor Mio Soul Hijau dikendarai Fakhry dan penumpang menabrak body sebelah kiri mobilnya.,memajukan,y,maju,me-root-kan,lit,physical
10,20,ind_news_2024_1M,70595,"Bambang """,dimundurkan,""" karena dianggap tidak mampu memenuhi target yang diberikan oleh pemerintah pusat.","Bambang ""<m>dimundurkan</m>"" karena dianggap tidak mampu memenuhi target yang diberikan oleh pemerintah pusat.",dimundurkan,y,mundur,di-root-kan,met,pol. nom.
